stop_name,type
충무로역.호텔피제이,bus
남대문시장,bus
이비스엠버서더호텔,bus
프레이저플레이스,bus
바비엥스위트,bus
서울역,bus
신성시장앞,bus
한국은행.신세계앞,bus
토요코인호텔.이비스버젯호텔,bus
을지로코업레지던스,bus
아카시아호텔.웨스턴코업레지던스,bus
서울기동대.광희초등학교,bus
동대문디자인플라자,bus
서대문역사거리.농협중앙회,bus
서울스퀘어앞,bus
북창동.남대문시장,bus
힐튼호텔,bus
힐튼호텔,bus
라마다.스위트호텔,bus
서울역,bus
밀레니엄힐튼호텔,bus
약수역,bus
앰배서더호텔,bus
코리아나호텔,bus
서소문KAL빌딩,bus
롯데호텔,bus
서울플라자호텔,bus
시청.서울신문사,bus
프레이저플레이스남대문,bus
프레이저플레이스남대문,bus
동대문역사문화공원,bus
시청앞.덕수궁,bus
남대문세무서.국가인권위원회,bus
장충문화체육센터.권기옥활동터,bus
약수역1번출구,bus
약수역10번출구,bus
동대문디자인플라자,bus
더스프라지르서울동대문,bus
웨스틴조선호텔,bus
베이튼호텔,bus
써미트호텔,bus
시청광장,bus
서울시청,bus
서대문역사거리,bus
서대문역사거리,bus
청계2가교차로,bus
응봉근린공원.금호산,bus
신금호파크자이아파트후문,bus
한국경제신문사,bus
염천교,bus
신당역하나은행,bus
프레스센터,bus
숭례문앞,bus
삼성프라자,bus
조선일보,bus
약수역.3.6호선,bus
시청역,bus
서울역,bus
서울역서부,bus
중림동입구,bus
약수지구대,bus
약수시장.초록마을앞,bus
중구청소년수련관.남산타운2상가,bus
중구청소년수련관.남산타운2상가,bus
서울방송고등학교.남산타운아파트,bus
서울방송고등학교.남산타운아파트,bus
한강대교북단.LG유플러스,bus
한강대교북단.LG유플러스,bus
신용산역,bus
신용산역,bus
KT용산지사,bus
KT용산지사,bus
삼각지역,bus
삼각지역,bus
숙대입구역,bus
숙대입구역,bus
갈월동,bus
갈월동,bus
남영역,bus
남영역,bus
신용산역3번출구,bus
한강대교북단,bus
서계동,bus
서계동,bus
청파동,bus
청파동,bus
숙대입구역.청파동주민센터,bus
숙대입구역.청파동주민센터,bus
남영역,bus
남영역,bus
용산전자상가17동,bus
용산전자상가19동,bus
용산전자상가10동,bus
용산전자상가12동,bus
용산전자상가.전자랜드,bus
용산전자상가.전자랜드,bus
원효대교북단,bus
용산경찰서,bus
용산경찰서,bus
용산꿈나무종합타운.원효로우체국,bus
용산e편한세상,bus
남정초등학교,bus
원효로2가,bus
원효로2가사거리,bus
원효로3가,bus
원효로3가,bus
용암초등학교입구.이태원주공아파트,bus
이태원동남산대림아파트.용산동아파트,bus
용산한신아파트,bus
해방촌,bus
국군재정관리단,bus
용산구청.크라운호텔,bus
용산구청.크라운호텔,bus
한강중학교,bus
한강중학교앞,bus
서빙고역1번출구,bus
장충단로입구,bus
남산예술원,bus
서울중부기술교육원.블루스퀘어,bus
서울시중부기술교육원.블루스퀘어,bus
순천향대학병원,bus
순천향대학병원,bus
순천향대학병원,bus
순천향대학병원.한남오거리,bus
한남5거리,bus
남산도서관,bus
남산도서관,bus
후암약수터,bus
후암약수터,bus
보성여중고입구,bus
보성여중고입구,bus
남산체육관,bus
남산체육관,bus
하얏트호텔,bus
하얏트호텔,bus
용마루고개(서울자동차고등학교),bus
용마루고개.효창파크푸르지오아파트,bus
효창공원앞역,bus
효창공원앞역,bus
용산꿈나무종합타운.보건분소,bus
용산꿈나무종합타운.보건분소,bus
문배동등기소앞,bus
전쟁기념관,bus
전쟁기념관,bus
녹사평역,bus
녹사평역,bus
용산구청.이태원시장,bus
용산구청.이태원시장,bus
이태원역1번출구.해밀턴호텔,bus
이태원역4번출구.해밀턴호텔,bus
이태원119안전센터,bus
이태원119안전센터,bus
한남동새마을금고,bus
한남동주민센터,bus
한강진역.블루스퀘어,bus
한강진역.블루스퀘어,bus
서울역,bus
후암3거리,bus
후암시장,bus
후암시장,bus
용산중고,bus
용산중고,bus
후암동우리은행앞,bus
용산중고,bus
남영동주민센터,bus
남영동주민센터,bus
남영우체국,bus
남영우체국,bus
한남시범아파트,bus
한남시범아파트,bus
한남동,bus
한남동,bus
이촌동동부센트레빌,bus
이촌동두산위브트레지움.한강대우아파트,bus
이촌1동충신교회앞,bus
이촌동한가람아파트.이촌역,bus
이촌동한강맨션.이촌역,bus
신용산초등학교,bus
신용산초등학교,bus
이촌동강촌아파트,bus
이촌동점보아파트,bus
이촌동현대아파트,bus
금강병원.반도아파트,bus
서빙고신동아아파트,bus
서빙고신동아아파트,bus
만리동고개,bus
손기정체육공원,bus
숙대입구역,bus
남영역,bus
숙명여대도서관앞,bus
숙명여대도서관앞,bus
숙명여대정문,bus
숙명여대정문,bus
숙명여대후문.이봉창활동터,bus
효창공원후문,bus
한겨레신문사입구,bus
대한노인회,bus
효창운동장.효창동주민센터,bus
국민은행효창동지점,bus
서울금양초등학교.국민은행효창동지점,bus
효창공원역,bus
도원삼성래미안아파트,bus
도원삼성래미안아파트,bus
